,CBSA,Population_2010,CBSA_code,CO_8hr_ppm,Pb_3mo,NO2_Am_ppb,NO2_1h_ppb,O3_8hr_ppm,PM10_24hr,PM25_AM,PM25_24hr,SO2_1hr_ppb
1,"Aberdeen, SD",40602,10100,,,,,,35,5.9,18,
2,"Aberdeen, WA",72797,10140,,,,,,,,,
3,"Adjuntas, PR",19483,10260,,,,,,,5.5,16,
4,"Adrian, MI",99892,10300,,,,,0.05899999999999998,,8.5,22,
5,"Aguadilla-Isabela, PR",339441,10380,,,,,,,,,
6,"Akron, OH",703200,10420,,,,,0.066,,8.7,22,3
7,"Albany, GA",157308,10500,,,,,,,9.3,26,
8,"Albany, OR",116672,10540,,,,,,,,,
9,"Albany-Schenectady-Troy, NY",870716,10580,1,,,,0.05600000000000001,,7,18,3
10,"Albert Lea, MN",31255,10660,,,,,,,,,
11,"Albuquerque, NM",887077,10740,1,,9,44,0.069,141,7.7,20,4
12,"Alexandria, LA",153922,10780,,,,,,,7.5,16,
13,"Alexandria, MN",36009,10820,,,,,,,,,
14,"Allentown-Bethlehem-Easton, PA-NJ",821173,10900,,0.04,11,43,0.065,31,8.5,26,6
15,"Alpena, MI",29598,10980,,,,,,,,,
16,"Altoona, PA",127089,11020,,,,,0.064,,,,8
17,"Amarillo, TX",251933,11100,,,,,0.068,,5.2,13,8
18,"Americus, GA",37829,11140,,,,,0.062,,,,
19,"Ames, IA",89542,11180,,,,,,,,,
20,"Anchorage, AK",380821,11260,2,,,,,148,8.2,42,
21,"Ann Arbor, MI",344791,11460,,,,,0.06,,8.5,22,
22,"Appleton, WI",225666,11540,,,,,0.05700000000000001,,8,26,32
23,"Ardmore, OK",47557,11620,,,,,0.065,,7.7,16,
24,"Arecibo, PR",199471,11640,,0.07000000000000002,,,,,,,
25,"Arkadelphia, AR",22995,11660,,,,,0.05700000000000001,,,,
26,"Asheville, NC",424858,11700,,,,,0.062,,6.1,14,35
27,"Ashtabula, OH",101497,11780,,,,,0.068,,,,3
28,"Athens, OH",64757,11900,,,,,,,6.4,13,
29,"Athens, TN",52266,11940,,,,,,,7.4,15,
30,"Athens-Clarke County, GA",192541,12020,,,,,0.063,,9.8,21,
31,"Atlanta-Sandy Springs-Roswell, GA",5286728,12060,2,,16,50,0.075,40,10.8,24,5
32,"Atlantic City-Hammonton, NJ",274549,12100,,,,,0.05899999999999998,,6.7,17,1
33,"Augusta-Richmond County, GA-SC",564873,12260,,,,,0.066,25,10.7,22,49
34,"Augusta-Waterville, ME",122151,12300,,,3,27,0.054,,,,1
35,"Austin-Round Rock, TX",1716289,12420,2,,12,32,0.065,38,9.5,21,2
36,"Bakersfield, CA",839631,12540,1,,12,56,0.084,382,13,47,
37,"Baltimore-Columbia-Towson, MD",2710489,12580,2,,16,41,0.077,34,8.3,31,11
38,"Bangor, ME",153923,12620,,,,,0.054,43,4.3,13,
39,"Baraboo, WI",61976,12660,,,,,0.061,35,7.3,21,
40,"Barnstable Town, MA",215888,12700,,,,,0.06,,,,
41,"Barre, VT",59534,12740,,,,,,,,,
42,"Bartlesville, OK",50976,12780,,,,,,,,,
43,"Baton Rouge, LA",802484,12940,1,0,10,45,0.07000000000000002,51,9.2,23,16
44,"Bay City, MI",107771,13020,,,,,,,6.8,18,
45,"Beaumont-Port Arthur, TX",403190,13140,,,6,31,0.074,,8.5,19,62
46,"Beaver Dam, WI",88759,13180,0,,,,0.062,34,,,1
47,"Beckley, WV",124898,13220,,,,,,,,,
48,"Bellingham, WA",201140,13380,,,,,0.04399999999999999,,4.6,12,105
49,"Bemidji, MN",44442,13420,,,,,,,6,16,
50,"Bend-Redmond, OR",157733,13460,,,,,,,,,
51,"Bennington, VT",37125,13540,,,,,0.05600000000000001,,5.6,14,
52,"Berlin, NH-VT",39361,13620,,,,,0.055,,,,
53,"Big Spring, TX",36238,13700,,,,,,,,,80
54,"Billings, MT",158934,13740,,,,,,,,,18
55,"Binghamton, NY",251725,13780,,,,,,,,,
56,"Birmingham-Hoover, AL",1128047,13820,1,,12,50,0.074,106,10.4,21,78
57,"Bishop, CA",3879,13860,1,,,,0.069,529,5.2,16,0
58,"Bismarck, ND",114778,13900,1,,5,40,0.061,47,4.6,13,11
59,"Blacksburg-Christiansburg-Radford, VA",178237,13980,,0,,,0.06,,,,80
60,"Bloomington, IL",186133,14010,,,,,0.063,,9.2,21,
61,"Bloomington, IN",159549,14020,,,,,0.062,,7.7,16,
62,"Bluefield, WV-VA",107342,14140,,,,,,,,,
63,"Blytheville, AR",46480,14180,,,,,,,,,
64,"Boise City, ID",616561,14260,1,,,,0.05700000000000001,83,6.9,25,3
65,"Boone, NC",51079,14380,,,,,,,,,
66,"Borger, TX",22150,14420,,,,,,,,,168
67,"Boston-Cambridge-Newton, MA-NH",4552402,14460,1,,14,49,0.065,34,7.5,17,10
68,"Boulder, CO",294567,14500,,,,,0.069,52,7.4,36,
69,"Bowling Green, KY",158599,14540,0,,,,0.06,,8.1,17,2
70,"Bozeman, MT",89513,14580,0,,2,,,,0.9,5,
71,"Brainerd, MN",91067,14660,,,,,0.065,,4.3,17,
72,"Bremerton-Silverdale, WA",251133,14740,,,,,,,4.9,12,
73,"Bridgeport-Stamford-Norwalk, CT",916829,14860,2,,8,,0.084,43,7.8,20,3
74,"Brookings, SD",31965,15100,,,,,0.071,62,4.2,15,
75,"Brownsville-Harlingen, TX",406220,15180,,,,,0.05899999999999998,,9.7,25,
76,"Brunswick, GA",112370,15260,,,,,0.06,,7.6,17,
77,"Buffalo-Cheektowaga-Niagara Falls, NY",1135509,15380,1,,9,45,0.063,24,7,17,13
78,"Burlington, NC",151131,15500,,,,,,,,,
79,"Burlington-South Burlington, VT",211261,15540,1,,6,30,0.054,14,6.6,16,1
80,"Butte-Silver Bow, MT",34200,15580,,,,,,56,5.3,21,
81,"Cadillac, MI",47584,15620,,,1,8,0.061,,,,
82,"Cambridge, MD",32618,15700,,,,,0.067,,5.9,14,2
83,"Cañon City, CO",46824,15860,,,,,,,,,
84,"Canton-Massillon, OH",404422,15940,1,0.21,,,0.065,,9.6,22,
85,"Cape Coral-Fort Myers, FL",618754,15980,,,,,0.062,51,7.4,14,
86,"Carlsbad-Artesia, NM",53829,16100,,,5,28,0.08,,,,
87,"Carson City, NV",55274,16180,,,,,0.063,,4.5,11,
88,"Casper, WY",75450,16220,,,4,33,0.06,22,3.8,9,21
89,"Cedar City, UT",46163,16260,,,6,,0.06,,4.3,11,
90,"Cedar Rapids, IA",257940,16300,,,,,0.06,38,7.9,20,25
91,"Centralia, WA",75455,16500,,,,,,,,,
92,"Chambersburg-Waynesboro, PA",149618,16540,,,,,0.05899999999999998,,,,
93,"Champaign-Urbana, IL",231891,16580,,,,,0.062,,7.8,20,4
94,"Charleston, WV",227078,16620,1,,,,0.065,,7.5,14,6
95,"Charleston-North Charleston, SC",664607,16700,,,,,0.064,54,6.9,14,14
96,"Charlotte-Concord-Gastonia, NC-SC",2217012,16740,1,,11,37,0.074,36,9.5,18,3
97,"Charlottesville, VA",218705,16820,,,,,0.05700000000000001,,6.4,13,
98,"Chattanooga, TN-GA",528143,16860,,,,,0.065,,9,19,
99,"Cheyenne, WY",91738,16940,0,,3,31,0.06,83,3.7,10,6
100,"Chicago-Naperville-Elgin, IL-IN-WI",9461105,16980,2,0.19,17,56,0.071,73,10.8,26,79
101,"Chico, CA",220000,17020,1,,7,35,0.063,53,,,
102,"Cincinnati, OH-KY-IN",2114580,17140,2,,18,49,0.072,108,11.9,26,134
103,"Claremont-Lebanon, NH-VT",218466,17200,,,,,0.05,,4.9,14,
104,"Clarksburg, WV",94196,17220,,,,,,,7.3,14,
105,"Clarksville, TN-KY",260625,17300,,,,,0.061,,,,
106,"Clearlake, CA",64665,17340,,,,,0.051,21,3.1,8,
107,"Cleveland, MS",34145,17380,,,,,0.062,,9,21,
108,"Cleveland-Elyria, OH",2077240,17460,2,0.01,10,45,0.071,79,10.8,26,23
109,"Clinton, IA",49116,17540,,,,,0.05800000000000002,,9,25,15
110,"Coeur d'Alene, ID",138494,17660,,,,,,,,,
111,"College Station-Bryan, TX",228660,17780,,,,,,,,,8
112,"Colorado Springs, CO",645613,17820,2,,,,0.065,32,5,13,10
113,"Columbia, MO",162642,17860,,,,,0.05800000000000002,,,,
114,"Columbia, SC",767598,17900,1,,3,31,0.067,35,7.2,15,3
115,"Columbus, GA-AL",294865,17980,,0.03,,,0.063,,9.4,21,
116,"Columbus, IN",76794,18020,,,,,0.062,,6.9,16,
117,"Columbus, MS",59779,18060,,,,,,,,,
118,"Columbus, OH",1901974,18140,1,,10,42,0.068,39,9.7,22,
119,"Concord, NH",146445,18180,,,,,0.055,,,,19
120,"Cookeville, TN",106042,18260,,,,,,,6.2,13,
121,"Corning, NY",98990,18500,0,,,,0.054,,5.6,13,2
122,"Corpus Christi, TX",428185,18580,,,,,0.062,44,8.7,21,9
123,"Corsicana, TX",47735,18620,,,,,0.062,,,,37
124,"Corvallis, OR",85579,18700,,,,,,,,,
125,"Crawfordsville, IN",38124,18820,,,,,,,,,
126,"Crescent City, CA",28610,18860,,,,,,,,,
127,"Crestview-Fort Walton Beach-Destin, FL",235865,18880,,,,,0.063,65,,,
128,"Cullowhee, NC",40271,19000,,,,,,,,,
129,"Cumberland, MD-WV",103299,19060,,,,,,,,,144
130,"Dallas-Fort Worth-Arlington, TX",6426214,19100,1,0.23000000000000004,12,46,0.076,40,9,19,7
131,"Dalton, GA",142227,19140,,,,,0.067,,,,
132,"Daphne-Fairhope-Foley, AL",182265,19300,,,,,0.063,,7.5,15,
133,"Davenport-Moline-Rock Island, IA-IL",379690,19340,1,,,,0.066,129,8.6,22,5
134,"Dayton, OH",799232,19380,1,,,,0.065,54,9.4,22,6
135,"Decatur, AL",153829,19460,,,,,0.064,,7.6,14,
136,"Decatur, IL",110768,19500,,,,,0.063,,9.5,20,42
137,"Deltona-Daytona Beach-Ormond Beach, FL",590289,19660,,,,,0.05600000000000001,50,7.5,16,
138,"Deming, NM",25095,19700,,,,,,187,,,
139,"Denver-Aurora-Lakewood, CO",2543482,19740,2,,27,69,0.078,111,10,29,7
140,"Des Moines-West Des Moines, IA",569633,19780,1,,6,37,0.064,39,7,19,
141,"Detroit-Warren-Dearborn, MI",4296250,19820,2,0.03,16,50,0.07000000000000002,89,12.1,31,64
142,"Dickinson, ND",24199,19860,,,,,0.05800000000000002,,3.4,9,4
143,"Dodge City, KS",33848,19980,,,,,,60,,,
144,"Dothan, AL",145639,20020,,,,,0.05700000000000001,,8.1,17,
145,"Douglas, GA",42356,20060,,,,,,,7.2,17,
146,"Dover, DE",162310,20100,,,,,0.062,,7.6,19,
147,"DuBois, PA",81642,20180,,,,,0.054,,,,
148,"Duluth, MN-WI",279771,20260,,0,,,0.05700000000000001,81,5.5,18,
149,"Durango, CO",51334,20420,0,,5,,0.063,26,,,
150,"Durham-Chapel Hill, NC",504357,20500,,,,,0.063,27,7.7,15,41
151,"Dyersburg, TN",38335,20540,,,,,,,6.7,15,
152,"Eagle Pass, TX",54258,20580,,,,,,,7.5,21,
153,"East Stroudsburg, PA",169842,20700,,,,,0.06,,,,
154,"Eau Claire, WI",161151,20740,,,,,0.05600000000000001,41,7.7,22,
155,"Effingham, IL",34242,20820,,,,,0.063,,,,
156,"El Centro, CA",174528,20940,3,,9,49,0.08,162,10.7,27,5
157,"El Dorado, AR",41639,20980,,,,,,,9,18,
158,"Elizabeth City, NC",64094,21020,,,,,,,,,
159,"Elizabethtown-Fort Knox, KY",148338,21060,,,,,0.05800000000000002,,7.3,15,
160,"Elkhart-Goshen, IN",197559,21140,,,,,0.05800000000000002,,,,
161,"Elko, NV",50805,21220,,,,,,68,,,
162,"Ellensburg, WA",40915,21260,,,,,,,7,19,
163,"El Paso, TX",804123,21340,2,0.01,14,,0.075,79,8.5,25,
164,"Enid, OK",60580,21420,,,,,,,,,45
165,"Erie, PA",280566,21500,1,,4,,0.063,32,,,
166,"Española, NM",40246,21580,,,,,0.061,,,,
167,"Eugene, OR",351715,21660,,,,,0.055,72,9.2,37,
168,"Eureka-Arcata-Fortuna, CA",134623,21700,1,,2,17,0.046,44,6.8,18,1
169,"Evanston, WY",21118,21740,,,2,13,0.067,23,,,
170,"Evansville, IN-KY",311552,21780,1,,8,32,0.064,27,8.7,21,99
171,"Fairbanks, AK",97581,21820,2,,,,0.04699999999999999,200,15.5,78,30
172,"Fairmont, WV",56418,21900,,,,,,,,,
173,"Fallon, NV",24877,21980,,,,,0.061,,,,
174,"Fargo, ND-MN",208777,22020,,,4,39,0.062,78,6.5,18,3
175,"Farmington, MO",65359,22100,,0.01,,,,,,,
176,"Farmington, NM",130044,22140,,,10,35,0.069,23,,,1
177,"Fayetteville, NC",366383,22180,,,,,0.061,30,7.4,16,
178,"Fayetteville-Springdale-Rogers, AR-MO",463204,22220,,,,,0.061,26,8,19,
179,"Fergus Falls, MN",57303,22260,,,,,,,,,
180,"Fernley, NV",51980,22280,,,,,0.05700000000000001,50,,,
181,"Flagstaff, AZ",134421,22380,,,,,0.063,,,,
182,"Flint, MI",425790,22420,,,,,0.06,,7.4,19,
183,"Florence, SC",205566,22500,,0.11,,,0.065,,7.7,16,
184,"Florence-Muscle Shoals, AL",147137,22520,,,,,0.05600000000000001,,,,
185,"Fond du Lac, WI",101633,22540,,,,,0.05700000000000001,,,,
186,"Fort Collins, CO",299630,22660,1,,,,0.071,,6,20,
187,"Fort Madison-Keokuk, IA-IL-MO",62105,22800,,,,,,,8.3,20,
188,"Fort Payne, AL",14101,22840,,,,,0.062,,,,
189,"Fort Smith, AR-OK",280467,22900,,,5,25,0.05899999999999998,,8.1,17,
190,"Fort Wayne, IN",416257,23060,,,,,0.063,,9,22,
191,"Frankfort, KY",70706,23180,,,,,,,,,
192,"Fresno, CA",930450,23420,1,,20,63,0.08,234,11.2,37,6
193,"Gadsden, AL",104430,23460,,,,,0.063,,8.3,16,
194,"Gainesville, FL",264275,23540,,,,,0.06,,7.1,16,
195,"Gainesville, GA",179684,23580,,,,,,,9.3,19,
196,"Gardnerville Ranchos, NV",46997,23820,,,,,,,3.8,13,
197,"Georgetown, SC",60158,23860,,,,,,36,,,
198,"Gettysburg, PA",101407,23900,0,,2,12,0.062,,,,4
199,"Gillette, WY",46133,23940,,,4,31,0.055,115,1.9,7,
200,"Glenwood Springs, CO",73537,24060,,,4,,0.063,34,3.5,8,
201,"Goldsboro, NC",122623,24140,,,,,,,,,
202,"Grand Forks, ND-MN",98461,24220,,,,,,,,,
203,"Grand Island, NE",81850,24260,,,,,,,,,
204,"Grand Junction, CO",146723,24300,1,,,,0.063,33,5,15,
205,"Grand Rapids-Wyoming, MI",988938,24340,1,0.01,6,36,0.065,104,8.3,24,14
206,"Grants Pass, OR",82713,24420,,,,,,,9.7,30,
207,"Great Falls, MT",81327,24500,,,,,,,,,
208,"Greeley, CO",252825,24540,1,,,,0.065,,9,26,
209,"Green Bay, WI",306241,24580,,,,,0.061,,7.3,19,5
210,"Greenfield Town, MA",71372,24640,,,,,0.05600000000000001,,6.5,17,
211,"Greensboro-High Point, NC",723801,24660,,,,,0.064,33,6.8,15,
212,"Greenville, NC",168148,24780,,,,,0.061,,6.7,15,
213,"Greenville-Anderson-Mauldin, SC",824112,24860,,,8,,0.068,31,8.2,19,1
214,"Greenwood, SC",95078,24940,,,,,,,,,
215,"Grenada, MS",21906,24980,,,,,,,,,
216,"Guayama, PR",84214,25020,,,,,,,,,
217,"Gulfport-Biloxi-Pascagoula, MS",370702,25060,,,4,28,0.061,,9.2,20,5
218,"Hagerstown-Martinsburg, MD-WV",251599,25180,,,,,0.05899999999999998,,8.9,25,
219,"Hammond, LA",121097,25220,,,,,,,7.6,18,
220,"Hanford-Corcoran, CA",152982,25260,,,8,49,0.076,469,12.2,45,
221,"Harrisburg-Carlisle, PA",549475,25420,,,,,0.063,36,8.5,30,
222,"Harrison, AR",45233,25460,,,,,0.05800000000000002,,,,
223,"Harrisonburg, VA",125228,25500,,,9,38,0.055,,7.1,18,2
224,"Hartford-West Hartford-East Hartford, CT",1212381,25540,1,,13,42,0.076,52,7.3,17,
225,"Hattiesburg, MS",142842,25620,,,,,,,8.8,19,
226,"Helena, MT",74801,25740,0,,,,0.062,,8.6,30,3
227,"Helena-West Helena, AR",21757,25760,,,,,,,,,
228,"Hermiston-Pendleton, OR",87062,25840,,,,,0.05899999999999998,,,,
229,"Hickory-Lenoir-Morganton, NC",365497,25860,,,,,0.061,21,8.3,17,
230,"Hilo, HI",185079,25900,,,,,,,3.2,8,11
231,"Hilton Head Island-Bluffton-Beaufort, SC",187010,25940,,,,,,,,,
232,"Hobbs, NM",64727,26020,,,5,37,0.07000000000000002,,,,
233,"Holland, MI",111408,26090,,,,,0.071,,7.2,18,
234,"Homosassa Springs, FL",141236,26140,,,,,,,,,11
235,"Hot Springs, AR",96024,26300,,,,,,,8.8,16,
236,"Houma-Thibodaux, LA",208178,26380,,,,,0.063,,7.5,18,
237,"Houston-The Woodlands-Sugar Land, TX",5920416,26420,2,,17,56,0.08100000000000002,63,10.7,27,14
238,"Huntington, IN",37124,26540,,,,,0.06,,,,
239,"Huntington-Ashland, WV-KY-OH",364908,26580,,,5,27,0.05899999999999998,40,7.6,15,9
240,"Huntsville, AL",417593,26620,,,,,0.063,34,7.4,14,
241,"Hutchinson, MN",36651,26780,,,,,,,,,
242,"Idaho Falls, ID",133265,26820,,,,,0.05800000000000002,,,,
243,"Indiana, PA",88880,26860,,,,,0.065,,,,27
244,"Indianapolis-Carmel-Anderson, IN",1887877,26900,2,,9,37,0.067,57,12.6,27,
245,"Ionia, MI",63905,26960,,0.09,,,,,,,
246,"Iowa City, IA",152586,26980,,,,,,,7.6,20,
247,"Iron Mountain, MI-WI",30591,27020,,,,,,,,,
248,"Ithaca, NY",101564,27060,,,,,0.05600000000000001,,,,21
249,"Jackson, MS",567122,27140,1,,7,37,0.064,60,9.8,23,2
250,"Jackson, TN",130011,27180,,,,,,,7.5,15,
251,"Jackson, WY-ID",31464,27220,0,,,,0.061,40,3.6,12,
252,"Jacksonville, FL",1345596,27260,1,,11,39,0.065,57,8.6,20,41
253,"Jacksonville, NC",177772,27340,,,,,,,,,
254,"Jamestown-Dunkirk-Fredonia, NY",134905,27460,,,,,0.065,,5.9,14,3
255,"Janesville-Beloit, WI",160331,27500,,,,,0.061,,,,
256,"Jasper, IN",54734,27540,,,,,,30,8.4,19,
257,"Jefferson City, MO",149807,27620,,,,,0.05800000000000002,,,,
258,"Johnstown, PA",143679,27780,1,,6,34,0.054,27,9,24,13
259,"Jonesboro, AR",121026,27860,,,,,,,,,
260,"Joplin, MO",175518,27900,,,,,0.061,88,,,
261,"Juneau, AK",31275,27940,,,,,,50,6.8,25,
262,"Kahului-Wailuku-Lahaina, HI",154924,27980,,,,,,,4.1,17,
263,"Kalamazoo-Portage, MI",326589,28020,,,,,0.061,,,,
264,"Kalispell, MT",90928,28060,,,,,0.053000000000000005,83,6.6,24,
265,"Kansas City, MO-KS",2009342,28140,1,,11,47,0.064,71,7.6,17,7
266,"Kapaa, HI",67091,28180,,,4,38,,,2.9,8,
267,"Keene, NH",77117,28300,,,,,0.053000000000000005,,4.8,14,
268,"Kennewick-Richland, WA",253340,28420,,,,,0.061,65,,,
269,"Ketchikan, AK",13477,28540,,,,,,,,,
270,"Killeen-Temple, TX",405300,28660,,,3,27,0.067,,8.3,19,
271,"Kingsport-Bristol-Bristol, TN-VA",309544,28700,,0,,,0.064,,7.1,14,104
272,"Kingsville, TX",32477,28780,,,,,,,,,
273,"Kinston, NC",59495,28820,,,,,0.062,,,,
274,"Klamath Falls, OR",66380,28900,,,,,,58,10.5,34,
275,"Knoxville, TN",837571,28940,1,0.03,1,5,0.066,37,8.9,17,7
276,"Kokomo, IN",82752,29020,,,,,0.063,,7.3,18,
277,"Laconia, NH",60088,29060,,,,,0.052,,3.6,15,
278,"La Crosse-Onalaska, WI-MN",133665,29100,,,,,0.05800000000000002,,7.6,22,
279,"Lafayette, LA",466750,29180,,,,,0.063,52,7.9,17,
280,"Lafayette-West Lafayette, IN",201789,29200,,,,,0.061,,8.8,18,
281,"La Grande, OR",25748,29260,,,,,,36,,,
282,"Lake Charles, LA",199607,29340,,,8,39,0.065,,6.8,14,26
283,"Lake City, FL",67531,29380,,,,,0.063,,,,
284,"Lake Havasu City-Kingman, AZ",200186,29420,,,,,,72,,,
285,"Lakeland-Winter Haven, FL",602095,29460,,,,,0.067,57,7.7,19,26
286,"Lancaster, PA",519445,29540,,0.07000000000000002,,,0.065,51,9.7,30,
287,"Lansing-East Lansing, MI",464036,29620,,,7,44,0.055,,,,4
288,"Laramie, WY",36299,29660,,,,,0.065,82,3.7,10,
289,"Laredo, TX",250304,29700,3,,,,0.05899999999999998,48,10.7,29,
290,"Las Cruces, NM",209233,29740,,,7,46,0.077,488,7.2,21,
