,CBSA,Population_2010,CBSA_code,CO_8hr_ppm,Pb_3mo,NO2_Am_ppb,NO2_1h_ppb,O3_8hr_ppm,PM10_24hr,PM25_AM,PM25_24hr,SO2_1hr_ppb
291,"Las Vegas-Henderson-Paradise, NV",1951269,29820,2,,24,58,0.07000000000000002,104,8,26,5
292,"Laurel, MS",84823,29860,,,,,,,,,
293,"Lawrenceburg, TN",41869,29980,,,,,,,,,
294,"Lawton, OK",130291,30020,,,,,0.066,,8.2,17,
295,"Lebanon, PA",133568,30140,,,,,0.065,,8.8,29,
296,"Lewiston, ID-WA",60888,30300,,,,,,,,,
297,"Lewiston-Auburn, ME",107702,30340,,,,,0.05,37,5.2,14,
298,"Lexington-Fayette, KY",472099,30460,,,6,42,0.05899999999999998,28,8,17,4
299,"Lima, OH",106331,30620,,,,,0.064,,7.4,17,3
300,"Lincoln, NE",302157,30700,,,,,0.05600000000000001,,6.5,17,33
301,"Little Rock-North Little Rock-Conway, AR",699757,30780,1,,8,38,0.06,38,10.3,23,13
302,"Logan, UT-ID",125442,30860,,,4,33,0.062,67,6.2,35,
303,"London, KY",126369,30940,,,,,,,,,
304,"Longview, TX",214369,30980,,,3,18,0.067,,,,115
305,"Longview, WA",102410,31020,,,,,,,,,
306,"Los Angeles-Long Beach-Anaheim, CA",12828837,31080,3,0.02,23,78,0.101,159,11,28,8
307,"Louisville/Jefferson County, KY-IN",1235708,31140,2,,15,49,0.068,40,10.5,23,15
308,"Lubbock, TX",290805,31180,,,,,,,6.4,14,
309,"Ludington, MI",28705,31220,,,,,0.05700000000000001,,,,
310,"Lumberton, NC",134168,31300,,,,,,,,,
311,"Lynchburg, VA",252634,31340,,,,,,,6.2,12,
312,"Macon, GA",232293,31420,,,,,0.066,,9.1,17,3
313,"Madera, CA",150865,31460,,,6,29,0.075,155,,,
314,"Madison, WI",605435,31540,,,,,0.05899999999999998,35,8,21,2
315,"Malone, NY",51599,31660,,,,,,,,,1
316,"Manchester-Nashua, NH",400721,31700,0,,,,0.05700000000000001,,3,10,1
317,"Manitowoc, WI",81442,31820,,,,,0.066,,,,
318,"Mankato-North Mankato, MN",96740,31860,,,,,,,,,
319,"Marietta, OH",61778,31930,,0,,,0.062,,,,
320,"Marion, NC",44996,32000,,,,,,,,,
321,"Marion, OH",66501,32020,,0.02,,,,,,,
322,"Marshall, MN",25857,32140,,,,,0.06,,5.9,18,
323,"Marshall, TX",65631,32220,,,2,16,0.062,,,,54
324,"Mason City, IA",51749,32380,,,,,,41,,,
325,"Mayagüez, PR",106330,32420,,,,,0.014000000000000002,,,,
326,"McAlester, OK",45837,32540,,0,,,0.065,,8.1,17,
327,"McAllen-Edinburg-Mission, TX",774769,32580,,,,,0.053000000000000005,50,10.7,30,
328,"Medford, OR",203206,32780,,,,,0.062,54,8.7,37,
329,"Memphis, TN-MS-AR",1324829,32820,1,,10,40,0.07000000000000002,54,8.8,19,2
330,"Merced, CA",255793,32900,,,6,34,0.072,80,9.6,30,
331,"Meridian, MS",107449,32940,,,,,0.05899999999999998,,,,
332,"Miami, OK",31848,33060,,0.05,,,0.055,52,,,
333,"Miami-Fort Lauderdale-West Palm Beach, FL",5564635,33100,2,,15,48,0.06,54,8.9,19,1
334,"Michigan City-La Porte, IN",111467,33140,,,,,0.071,,7.9,24,
335,"Middlesborough, KY",28691,33180,,,,,0.05899999999999998,,7.3,17,
336,"Milwaukee-Waukesha-West Allis, WI",1555908,33340,1,,13,47,0.068,58,9.3,24,4
337,"Minneapolis-St. Paul-Bloomington, MN-WI",3348859,33460,1,0.07000000000000002,8,41,0.062,98,8,23,10
338,"Minot, ND",69540,33500,,,2,14,0.063,27,4.5,11,8
339,"Missoula, MT",109299,33540,,,,,0.03500000000000001,77,8.5,21,
340,"Mobile, AL",412992,33660,,,,,0.05899999999999998,,8.3,17,22
341,"Modesto, CA",514453,33700,1,,9,44,0.079,104,10.6,36,
342,"Monroe, LA",176441,33740,,,,,0.05899999999999998,,7.2,15,
343,"Monroe, MI",152021,33780,,,,,,70,,,9
344,"Montgomery, AL",374536,33860,,,,,0.06,33,9,16,
345,"Morehead City, NC",66469,33980,,,,,0.061,,,,
346,"Morgantown, WV",129709,34060,,,,,0.06,,7.2,15,14
347,"Morristown, TN",113951,34100,,,,,0.065,,,,
348,"Moscow, ID",37244,34140,,,,,,,,,
349,"Moses Lake, WA",89120,34180,,,,,,,,,
350,"Mount Pleasant, TX",32334,34420,,,,,,,,,31
351,"Mount Vernon, IL",38827,34500,,,,,0.064,,8.3,17,
352,"Mount Vernon, OH",60921,34540,,,,,0.063,,,,
353,"Mount Vernon-Anacortes, WA",116901,34580,,,,,0.04,,5.5,12,3
354,"Muncie, IN",117671,34620,,0.03,,,0.05899999999999998,,8.3,19,
355,"Muscatine, IA",42745,34700,,,,,,36,8.1,23,25
356,"Muskegon, MI",172188,34740,,,,,0.068,,,,
357,"Muskogee, OK",70990,34780,,,,,,173,,,
358,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",376722,34820,,,,,0.064,,,,60
359,"Napa, CA",136484,34900,1,,5,29,0.06,29,5.9,14,
360,"Naples-Immokalee-Marco Island, FL",321520,34940,,,,,0.05899999999999998,,,,
361,"Nashville-Davidson--Murfreesboro--Franklin, TN",1670890,34980,1,,14,51,0.066,32,9.2,18,
362,"Natchez, MS-LA",53119,35020,,,,,,,,,
363,"New Castle, IN",49462,35220,,,,,,,7.7,17,
364,"New Castle, PA",91108,35260,,0.01,,,0.05600000000000001,,,,
365,"New Haven-Milford, CT",862477,35300,1,,12,46,0.084,67,7.7,18,2
366,"New Orleans-Metairie, LA",1189866,35380,2,0.09,10,43,0.063,79,7.8,17,53
367,"New York-Newark-Jersey City, NY-NJ-PA",19567410,35620,2,,21,66,0.073,34,11,24,11
368,"Niles-Benton Harbor, MI",156813,35660,,,,,0.066,,,,
369,"Nogales, AZ",47420,35700,,,,,,108,8.8,25,
370,"North Platte, NE",37590,35820,,,,,,,,,
371,"North Port-Sarasota-Bradenton, FL",702281,35840,,,,,0.068,54,6.8,15,5
372,"Norwich-New London, CT",274055,35980,,,,,0.075,30,6.5,16,
373,"Ocala, FL",331298,36100,,,,,0.062,,,,
374,"Odessa, TX",137130,36220,,,,,,,7.6,17,
375,"Ogden-Clearfield, UT",597159,36260,1,,12,46,0.073,50,5.7,19,
376,"Ogdensburg-Massena, NY",111944,36300,,,,,,,,,82
377,"Oklahoma City, OK",1252987,36420,1,,12,,0.066,63,10,21,1
378,"Olympia-Tumwater, WA",252264,36500,1,,,,0.052,,,,
379,"Omaha-Council Bluffs, NE-IA",865350,36540,2,0.06,,,0.062,50,7.8,22,38
380,"Orangeburg, SC",92501,36700,,,,,,,,,
381,"Orlando-Kissimmee-Sanford, FL",2134411,36740,1,,4,30,0.072,49,6.9,16,3
382,"Oshkosh-Neenah, WI",166994,36780,,,,,,,,,
383,"Othello, WA",18728,36830,,,,,,,,,
384,"Ottawa-Peru, IL",154908,36860,,,,,,,,,22
385,"Owensboro, KY",114752,36980,,,4,27,0.063,,8.5,20,34
386,"Oxford, NC",59916,37080,,,,,0.062,,,,
387,"Oxnard-Thousand Oaks-Ventura, CA",823318,37100,,,7,34,0.072,163,7.3,17,
388,"Paducah, KY-IL",98762,37140,,,5,32,0.061,28,9.3,21,13
389,"Pahrump, NV",43946,37220,,,,,,132,,,
390,"Palatka, FL",74364,37260,,,,,,60,,,9
391,"Palm Bay-Melbourne-Titusville, FL",543376,37340,,,,,0.05800000000000002,47,,,
392,"Panama City, FL",184715,37460,,,,,0.062,,,,
393,"Parkersburg-Vienna, WV",92673,37620,,,,,0.061,,,,22
394,"Payson, AZ",53597,37740,,0.16,,,0.075,191,,,191
395,"Pensacola-Ferry Pass-Brent, FL",448991,37860,,,,,0.065,,8.4,20,12
396,"Peoria, IL",379186,37900,,,,,0.064,,8,19,17
397,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",5965343,37980,2,0,13,52,0.072,49,9.8,26,17
398,"Phoenix-Mesa-Scottsdale, AZ",4192887,38060,2,0.05,25,52,0.076,990,10.9,30,5
399,"Picayune, MS",55834,38100,,,,,,,,,
400,"Pierre, SD",21361,38180,,,,,,,3.3,11,
401,"Pine Bluff, AR",100258,38220,,,,,,,,,
402,"Pittsburgh, PA",2356285,38300,3,0,10,37,0.064,86,12.2,39,80
403,"Pittsfield, MA",131219,38340,,,,,0.06,,7.1,17,
404,"Platteville, WI",51208,38420,,,,,,,8.4,25,
405,"Pocatello, ID",82839,38540,,,,,,67,,,39
406,"Point Pleasant, WV-OH",58258,38580,,,,,,,,,61
407,"Ponca City, OK",46562,38620,,,,,0.061,,7.9,19,23
408,"Ponce, PR",350480,38660,1,,,,,94,6.3,17,
409,"Port Angeles, WA",71404,38820,0,,,,0.051,,,,1
410,"Portland-South Portland, ME",514098,38860,1,,7,40,0.064,91,8.7,20,
411,"Portland-Vancouver-Hillsboro, OR-WA",2226009,38900,1,,11,33,0.065,32,7,25,3
412,"Port St. Lucie, FL",424107,38940,,,,,0.06,,,,
413,"Portsmouth, OH",79499,39020,,,,,,77,6.7,13,32
414,"Prescott, AZ",211033,39140,,,,,0.061,,,,
415,"Price, UT",21403,39220,,,2,16,0.068,,,,
416,"Prineville, OR",20978,39260,,,,,,,7.6,28,
417,"Providence-Warwick, RI-MA",1600852,39300,2,,17,52,0.066,37,8.3,18,2
418,"Provo-Orem, UT",526810,39340,1,,9,42,0.066,53,6.1,21,
419,"Pueblo, CO",159063,39380,,,,,,50,4.7,8,
420,"Pullman, WA",44776,39420,,,,,,,,,
421,"Quincy, IL-MO",77314,39500,,,,,0.062,,,,
422,"Racine, WI",195408,39540,,,,,0.066,,,,
423,"Raleigh, NC",1130490,39580,1,,9,34,0.064,30,8.9,17,2
424,"Rapid City, SD",134598,39660,,,6,,0.05700000000000001,170,5.9,16,7
425,"Reading, PA",411442,39740,,0.03,,,0.066,,8.5,28,
426,"Red Bluff, CA",63463,39780,,,,,0.066,33,5.4,15,
427,"Redding, CA",177223,39820,,,,,0.063,32,6.7,23,
428,"Red Wing, MN",46183,39860,,,,,0.062,,,,
429,"Reno, NV",425417,39900,2,,11,46,0.066,78,6,16,3
430,"Richmond, VA",1208101,40060,1,,12,43,0.064,27,8.4,20,14
431,"Richmond-Berea, KY",99972,40080,,0.02,,,,,,,
432,"Riverside-San Bernardino-Ontario, CA",4224851,40140,1,0.01,29,74,0.10600000000000002,243,12.8,36,7
433,"Riverton, WY",40123,40180,,,1,4,0.065,34,2.5,6,64
434,"Roanoke, VA",308707,40220,1,0.01,5,32,0.05899999999999998,,6.6,13,36
435,"Roanoke Rapids, NC",76790,40260,,,,,,,,,
436,"Rochester, MN",206877,40340,,,,,0.054,,,,
437,"Rochester, NY",1079671,40380,1,,8,39,0.06,24,6.6,16,2
438,"Rockford, IL",349431,40420,,,,,0.066,,,,
439,"Rockland, ME",7297,40500,,,,,0.05899999999999998,,,,
440,"Rock Springs, WY",43806,40540,,,3,38,0.065,87,4.4,15,13
441,"Rocky Mount, NC",152392,40580,,,,,0.06,,,,
442,"Rome, GA",96317,40660,,,,,,,,,22
443,"Roseburg, OR",107667,40700,,,,,,,,,
444,"Roswell, NM",65645,40740,,,,,,,,,
445,"Russellville, AR",83939,40780,,,,,,,,,
446,"Rutland, VT",61642,40860,1,,7,35,0.052,34,7.5,20,3
447,"Sacramento--Roseville--Arden-Arcade, CA",2149127,40900,1,,12,55,0.079,90,8.4,30,3
448,"Saginaw, MI",200169,40980,,,,,,,,,
449,"St. Cloud, MN",189093,41060,,,,,0.061,,,,
450,"St. George, UT",138115,41100,,,3,26,0.064,,,,
451,"St. Joseph, MO-KS",127329,41140,,,,,0.061,94,8.5,18,
452,"St. Louis, MO-IL",2787701,41180,2,0.15,11,45,0.07000000000000002,99,10.5,25,36
453,"St. Marys, PA",13070,41260,,,,,0.05800000000000002,,,,
454,"Salem, OH",107841,41400,,0.01,,,,26,,,3
455,"Salem, OR",390738,41420,,,,,0.055,,,,
456,"Salina, KS",61697,41460,,0.05,,,,,,,
457,"Salinas, CA",415057,41500,1,,4,26,0.05800000000000002,76,5.5,12,
458,"Salisbury, MD-DE",373802,41540,,,,,0.065,,7.6,21,1
459,"Salt Lake City, UT",1087873,41620,1,,18,55,0.073,67,9,31,13
460,"San Antonio-New Braunfels, TX",2142508,41700,1,,7,40,0.075,42,8.9,21,4
461,"San Diego-Carlsbad, CA",3095313,41740,2,0.02,14,47,0.076,153,13.7,27,1
462,"Sandpoint, ID",40877,41760,,,,,,40,,,
463,"Sanford, NC",57866,41820,,,,,,,,,
464,"San Francisco-Oakland-Hayward, CA",4335391,41860,2,,15,48,0.072,34,9.4,19,15
465,"San Jose-Sunnyvale-Santa Clara, CA",1836911,41940,2,0.07000000000000002,14,52,0.064,75,9.1,21,2
466,"San Juan-Carolina-Caguas, PR",2350126,41980,3,,14,83,0.034,91,7.5,20,
467,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",269637,42020,,,4,27,0.07000000000000002,129,7,20,1
468,"Santa Cruz-Watsonville, CA",262382,42100,,,,,0.052,,6.5,13,
469,"Santa Fe, NM",144170,42140,,,,,0.066,,2.9,7,
470,"Santa Maria-Santa Barbara, CA",423895,42200,1,,5,26,0.068,87,6.8,16,3
471,"Santa Rosa, CA",483878,42220,1,,4,28,0.05600000000000001,73,5.7,14,
472,"Sault Ste. Marie, MI",38520,42300,,,,,,,,,
473,"Savannah, GA",347611,42340,,,,,0.06,,,,50
474,"Sayre, PA",62622,42380,,,3,,0.053000000000000005,,7.4,17,
475,"Scottsbluff, NE",38971,42420,,,,,,,4.8,12,
476,"Scranton--Wilkes-Barre--Hazleton, PA",563631,42540,1,,8,42,0.063,26,,,3
477,"Searcy, AR",77076,42620,,,,,,,,,
478,"Seattle-Tacoma-Bellevue, WA",3439809,42660,1,,18,57,0.05600000000000001,22,8.5,28,6
479,"Sebastian-Vero Beach, FL",138028,42680,,,,,0.05899999999999998,,,,
480,"Sebring, FL",98786,42700,,,,,0.05899999999999998,,,,
481,"Seneca, SC",74273,42860,,,,,0.065,,,,1
482,"Seneca Falls, NY",35251,42900,,,,,,,,,2
483,"Sevierville, TN",89889,42940,,,,,0.062,,,,
484,"Seymour, IN",42376,42980,,,,,0.06,,,,
485,"Shawnee, OK",69442,43060,,,,,,,,,
486,"Sheboygan, WI",115507,43100,,,,,0.068,,,,
487,"Shelton, WA",60699,43220,,,,,,,,,
488,"Sheridan, WY",29116,43260,,,,,0.06,40,6,18,
489,"Show Low, AZ",107449,43320,,,,,0.066,35,,,
490,"Shreveport-Bossier City, LA",439811,43340,,,,,0.061,44,10.7,23,5
491,"Sierra Vista-Douglas, AZ",131346,43420,,,,,0.066,97,5.1,10,
492,"Silver City, NM",29514,43500,,,,,,,,,
493,"Sioux City, IA-NE-SD",168563,43580,,,2,12,0.064,56,7.4,22,3
494,"Sioux Falls, SD",228261,43620,1,,5,31,0.065,37,3.9,16,2
495,"Somerset, KY",63063,43700,,,,,0.05700000000000001,,7,14,
496,"Somerset, PA",77742,43740,,,,,0.06,,,,
497,"Sonora, CA",55365,43760,,,,,0.069,,,,
498,"South Bend-Mishawaka, IN-MI",319224,43780,,,9,40,0.065,,8.3,22,
499,"Spartanburg, SC",313268,43900,,,,,0.068,,7.7,15,
500,"Spokane-Spokane Valley, WA",527753,44060,,,,,0.05700000000000001,107,7.5,25,
501,"Springfield, IL",210170,44100,,,,,0.062,,8.2,18,
502,"Springfield, MA",621570,44140,1,,10,44,0.066,15,7.7,17,3
503,"Springfield, MO",436712,44180,,,,,0.06,33,,,
504,"Springfield, OH",138333,44220,,,,,0.066,,9.8,22,3
505,"State College, PA",153990,44300,,,3,29,0.05899999999999998,,9.8,25,3
506,"Steamboat Springs, CO",23509,44460,,,,,,73,,,
507,"Stillwater, OK",77350,44660,,,,,,,,,
508,"Stockton-Lodi, CA",685306,44700,1,,12,58,0.069,123,9.3,33,
509,"Summerville, GA",26015,44900,,,,,0.06,,,,
510,"Syracuse, NY",662577,45060,,,,,0.05800000000000002,,6.1,15,1
511,"Tahlequah, OK",46987,45140,,,,,,,,,
512,"Talladega-Sylacauga, AL",93830,45180,,,,,,,,,
513,"Tallahassee, FL",367413,45220,1,,,,0.063,,7.7,20,
514,"Tampa-St. Petersburg-Clearwater, FL",2783243,45300,1,0.09,10,37,0.07000000000000002,64,7.7,17,11
515,"Taos, NM",32937,45340,,,,,,,5,16,
516,"Terre Haute, IN",172425,45460,,,,,0.063,31,9.6,21,4
517,"Texarkana, TX-AR",149198,45500,,,,,,,9.3,19,
518,"The Dalles, OR",25213,45520,,,,,,,,,
519,"Toledo, OH",610001,45780,,0.08,,,0.065,,8.8,25,22
520,"Topeka, KS",233870,45820,,,,,0.061,52,,,
521,"Torrington, CT",189927,45860,0,,,,0.062,21,4.6,11,2
522,"Traverse City, MI",143372,45900,,,,,0.05700000000000001,,,,
523,"Trenton, NJ",366513,45940,,,,,0.068,,7.6,17,
524,"Troy, AL",32899,45980,,0.16,,,,,,,
525,"Truckee-Grass Valley, CA",98764,46020,,,,,0.072,,6.3,16,
526,"Tucson, AZ",980263,46060,1,,7,30,0.065,139,3.8,9,1
527,"Tulsa, OK",937478,46140,1,0.01,7,,0.066,36,8.7,22,6
528,"Tupelo, MS",136268,46180,,,,,0.061,,,,
529,"Tuscaloosa, AL",230162,46220,,,,,0.06,,7.9,15,
530,"Twin Falls, ID",99604,46300,,,,,,,3.9,9,
531,"Tyler, TX",209714,46340,,,2,14,0.067,,,,
532,"Ukiah, CA",87841,46380,,,,,0.051,38,6,16,
533,"Urban Honolulu, HI",953207,46520,1,,4,28,0.053000000000000005,32,3.9,8,62
534,"Utica-Rome, NY",299397,46540,,,,,0.048,,,,
535,"Valdosta, GA",139588,46660,,,,,,,7.6,15,
536,"Vallejo-Fairfield, CA",413344,46700,2,,7,41,0.066,35,8.6,19,4
537,"Vernal, UT",32588,46860,,,4,28,0.098,18,5.1,16,
538,"Vicksburg, MS",58377,46980,,,,,,,,,
539,"Victoria, TX",94003,47020,,,,,0.062,,,,
540,"Vincennes, IN",38440,47180,,,,,0.061,,,,
541,"Vineland-Bridgeton, NJ",156898,47220,,,6,35,0.068,,7.8,19,
542,"Vineyard Haven, MA",16535,47240,,,,,0.071,,,,
543,"Virginia Beach-Norfolk-Newport News, VA-NC",1676822,47260,1,,8,40,0.061,20,7.1,18,3
544,"Visalia-Porterville, CA",442179,47300,,,10,55,0.083,284,12.9,46,
545,"Wabash, IN",32888,47340,,,,,0.064,,,,
546,"Waco, TX",252772,47380,1,,,,0.063,,,,6
547,"Walla Walla, WA",62859,47460,,,,,,79,,,
548,"Walterboro, SC",5401,47500,,,,,0.026,,,,
549,"Warner Robins, GA",179605,47580,,,,,,,9.5,19,
550,"Warren, PA",41815,47620,,,,,,,,,55
551,"Washington, IN",31648,47780,,,,,,,,,12
552,"Washington, NC",47759,47820,,,,,,,,,13
553,"Washington-Arlington-Alexandria, DC-VA-MD-WV",5636232,47900,2,,16,49,0.075,46,9.1,25,5
554,"Washington Court House, OH",29030,47920,,,,,0.061,,,,
555,"Waterloo-Cedar Falls, IA",167819,47940,,,,,0.062,,7.7,20,
556,"Watertown, SD",27227,47980,,,,,,87,6.3,18,
557,"Watertown-Fort Atkinson, WI",83686,48020,,,,,0.061,,,,
558,"Watertown-Fort Drum, NY",116229,48060,,,,,0.05600000000000001,,,,
559,"Wausau, WI",134063,48140,,,,,0.05899999999999998,,,,
560,"Weatherford, OK",27469,48220,,,,,,54,,,
561,"Weirton-Steubenville, WV-OH",124454,48260,,,,,0.05899999999999998,49,9.5,21,75
562,"Wenatchee, WA",110884,48300,,,,,,,,,1
563,"West Plains, MO",40400,48460,,,,,,,,,
564,"Wheeling, WV-OH",147950,48540,1,,7,31,0.06,35,9.2,22,9
565,"Whitewater-Elkhorn, WI",102228,48580,,,,,0.062,,,,
566,"Wichita, KS",630919,48620,,,6,21,0.062,64,7.5,18,3
567,"Williamsport, PA",116111,48700,,,,,0.05600000000000001,,,,
568,"Williston, ND",22398,48780,,,,,0.05800000000000002,22,4.1,13,70
569,"Willmar, MN",42239,48820,,,,,,,,,
570,"Wilmington, NC",254884,48900,,,,,0.05899999999999998,,,,
571,"Wilmington, OH",42040,48940,,,,,0.065,,,,
572,"Winchester, VA-WV",128472,49020,,,,,0.055,25,7.6,23,
573,"Winona, MN",51461,49100,,,,,,,,,
574,"Winston-Salem, NC",640595,49180,,,7,34,0.065,33,9.5,24,5
575,"Wisconsin Rapids-Marshfield, WI",74749,49220,,,,,,,,,
576,"Worcester, MA-CT",916980,49340,1,,10,48,0.066,37,8,16,2
577,"Yakima, WA",243231,49420,,,,,,60,9.8,34,
578,"York-Hanover, PA",434972,49620,,,,,0.062,,,,8
579,"Youngstown-Warren-Boardman, OH-PA",565773,49660,,,,,0.067,34,8.3,19,5
580,"Yuba City, CA",166892,49700,,,6,40,0.065,78,8.4,27,
581,"Yuma, AZ",195751,49740,,,,,0.065,174,7.9,16,
